source,target,weight
argentina,latino,1
argentina,loscantantes,1
argentina,maracaibo,1
argentina,parati,1
argentina,peru,1
argentina,venezuela,1
argentina,virao,1
argentina,viraochallenge,1
buenosaires,caribeño,1
buenosaires,latino,1
buenosaires,loscantantes,1
buenosaires,maracaibo,1
buenosaires,parati,1
buenosaires,peru,1
buenosaires,venezuela,1
buenosaires,virao,1
buenosaires,viraochallenge,1
caribeño,latino,1
caribeño,loscantantes,1
caribeño,maracaibo,1
caribeño,parati,1
caribeño,peru,1
caribeño,venezuela,1
caribeño,virao,1
caribeño,viraochallenge,1
latino,loscantantes,1
latino,maracaibo,1
latino,parati,1
latino,peru,1
